index,mapped_rxn
1030,[OH:1][CH:2]([CH:3]=[CH2:4])[c:12]1[cH:13][cH:14][cH:15][c:16](/[CH:17]=[CH:18]/[c:19]2[cH:20][cH:21][c:22]3[cH:23][cH:24][c:25]([Cl:26])[cH:27][c:28]3[n:29]2)[cH:30]1.I[c:5]1[cH:6][cH:7][cH:8][cH:9][c:10]1[OH:11]>>[O:1]=[C:2]([CH2:3][CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][c:10]1[OH:11])[c:12]1[cH:13][cH:14][cH:15][c:16](/[CH:17]=[CH:18]/[c:19]2[cH:20][cH:21][c:22]3[cH:23][cH:24][c:25]([Cl:26])[cH:27][c:28]3[n:29]2)[cH:30]1
1031,[CH2:9]=[CH:10][CH:11]([OH:12])[c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1.I[c:8]1[cH:7][cH:6][c:5]([C:3]([O:2][CH3:1])=[O:4])[cH:21][c:19]1[OH:20]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([CH2:9][CH2:10][C:11](=[O:12])[c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[c:19]([OH:20])[cH:21]1
1032,[CH2:11]=[CH:12][CH:13]([OH:14])[c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1.I[c:10]1[c:8]([OH:9])[n:7][cH:6][c:5]([C:3]([O:2][CH3:1])=[O:4])[cH:21]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][n:7][c:8]([OH:9])[c:10]([CH2:11][CH2:12][C:13](=[O:14])[c:15]2[cH:16][cH:17][cH:18][cH:19][cH:20]2)[cH:21]1
1033,I[c:4]1[cH:5][cH:6][c:7]([N+:8](=[O:9])[O-:10])[cH:11][cH:12]1.[O:1]=[c:2]1[cH:3][c:13]2[s:14][c:15]3[n:16][c:17]([Br:18])[cH:19][n:20][c:21]3[n:22][c:23]-2[c:24]2[n:25][cH:26][cH:27][cH:28][c:29]12>>[O:1]=[c:2]1[c:3](-[c:4]2[cH:5][cH:6][c:7]([N+:8](=[O:9])[O-:10])[cH:11][cH:12]2)[c:13]2[s:14][c:15]3[n:16][c:17]([Br:18])[cH:19][n:20][c:21]3[n:22][c:23]-2[c:24]2[n:25][cH:26][cH:27][cH:28][c:29]12
1035,[CH3:1][N:2]1[C:3](=[O:4])[CH:5]=[CH:6][C:17]1=[O:18].I[c:7]1[cH:8][cH:9][cH:10][c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]12>>[CH3:1][N:2]1[C:3](=[O:4])[CH:5]=[C:6]([c:7]2[cH:8][cH:9][cH:10][c:11]3[cH:12][cH:13][cH:14][cH:15][c:16]23)[C:17]1=[O:18]
1036,I[c:26]1[c:21]([CH2:20][n:19]2[c:9]3[c:10]([c:11]4[cH:12][cH:13][cH:14][cH:15][c:16]4[c:17]2=[O:18])[C:2](=[O:1])[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2-3)[cH:22][cH:23][cH:24][cH:25]1>>[O:1]=[C:2]1[c:3]2[cH:4][cH:5][cH:6][c:7]3[c:8]2-[c:9]2[c:10]1[c:11]1[cH:12][cH:13][cH:14][cH:15][c:16]1[c:17](=[O:18])[n:19]2[CH2:20][c:21]1[cH:22][cH:23][cH:24][cH:25][c:26]1-3
1037,I[c:26]1[c:21]([CH2:20][n:19]2[c:9]3[c:10]([c:11]4[cH:12][cH:13][cH:14][cH:15][c:16]4[c:17]2=[O:18])[C:2](=[O:1])[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2-3)[cH:22][cH:23][cH:24][cH:25]1>>[O:1]=[C:2]1[c:3]2[cH:4][cH:5][cH:6][c:7]3[c:8]2-[c:9]2[c:10]1[c:11]1[cH:12][cH:13][cH:14][cH:15][c:16]1[c:17](=[O:18])[n:19]2[CH2:20][c:21]1[cH:22][cH:23][cH:24][cH:25][c:26]1-3
1038,I[c:26]1[c:21]([CH2:20][n:19]2[c:9]3[c:10]([c:11]4[cH:12][cH:13][cH:14][cH:15][c:16]4[c:17]2=[O:18])[C:2](=[O:1])[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2-3)[cH:22][cH:23][cH:24][cH:25]1>>[O:1]=[C:2]1[c:3]2[cH:4][cH:5][cH:6][c:7]3[c:8]2-[c:9]2[c:10]1[c:11]1[cH:12][cH:13][cH:14][cH:15][c:16]1[c:17](=[O:18])[n:19]2[CH2:20][c:21]1[cH:22][cH:23][cH:24][cH:25][c:26]1-3
1039,[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[CH2:7].Br[c:8]1[cH:9][cH:10][cH:11][c:12]2[cH:13][cH:14][c:15]([O:16][CH3:17])[n:18][c:19]12>>[CH3:1][CH2:2][O:3][C:4](=[O:5])/[CH:6]=[CH:7]/[c:8]1[cH:9][cH:10][cH:11][c:12]2[cH:13][cH:14][c:15]([O:16][CH3:17])[n:18][c:19]12
1040,[CH2:9]=[CH:10][c:11]1[cH:12][cH:13][c:14]([Cl:15])[cH:16][cH:17]1.Br[c:8]1[c:3]([O:2][CH3:1])[cH:4][cH:5][cH:6][cH:7]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][cH:7][c:8]1[CH:9]=[CH:10][c:11]1[cH:12][cH:13][c:14]([Cl:15])[cH:16][cH:17]1
1041,Cl[c:19]1[c:10]([CH2:9][O:8][c:7]2[c:2]([CH3:1])[cH:3][cH:4][cH:5][cH:6]2)[cH:11][c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]2[n:18]1>>[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[c:7]1[O:8][CH2:9][c:10]1[cH:11][c:12]3[cH:13][cH:14][cH:15][cH:16][c:17]3[n:18][c:19]1-2
1042,Cl[c:7]1[n:6][c:5]2[cH:4][cH:3][c:2]([Br:1])[cH:11][c:10]2[cH:9][c:8]1[CH2:12][O:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1>>[Br:1][c:2]1[cH:3][cH:4][c:5]2[n:6][c:7]3[c:8]([cH:9][c:10]2[cH:11]1)[CH2:12][O:13][c:14]1[cH:15][cH:16][cH:17][cH:18][c:19]1-3
1043,Cl[c:9]1[n:10][c:11]2[cH:12][cH:13][c:14]([Cl:15])[cH:16][c:17]2[cH:18][c:19]1[CH2:20][O:21][c:6]1[cH:5][cH:4][c:3]([C:2]#[N:1])[cH:8][cH:7]1>>[N:1]#[C:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([cH:8]1)-[c:9]1[n:10][c:11]3[cH:12][cH:13][c:14]([Cl:15])[cH:16][c:17]3[cH:18][c:19]1[CH2:20][O:21]2
1044,Br[c:21]1[c:16]([CH2:15][O:14][CH2:13][c:12]2[c:7]([C:6]#[C:5][Si:2]([CH3:1])([CH3:3])[CH3:4])[cH:8][cH:9][cH:10][cH:11]2)[cH:17][cH:18][cH:19][cH:20]1>>[CH3:1][Si:2]([CH3:3])([CH3:4])[CH:5]=[C:6]1[c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]2[CH2:13][O:14][CH2:15][c:16]2[cH:17][cH:18][cH:19][cH:20][c:21]21
1045,Br[c:21]1[c:16]([CH2:15][O:14][CH2:13][c:12]2[c:7]([C:6]#[C:5][Si:2]([CH3:1])([CH3:3])[CH3:4])[cH:8][cH:9][cH:10][cH:11]2)[cH:17][cH:18][cH:19][cH:20]1>>[CH3:1][Si:2]([CH3:3])([CH3:4])[CH:5]=[C:6]1[c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]2[CH2:13][O:14][CH2:15][c:16]2[cH:17][cH:18][cH:19][cH:20][c:21]21
1046,I/[C:3](=[CH:2]\[CH3:1])[CH2:4][N:5]1[CH2:6][CH2:7][C@:8]23[C@H:9]([C:10]([C:11](=[O:12])[O:13][CH3:14])=[CH:15][CH2:16][C@H:17]12)[NH:18][c:19]1[cH:20][cH:21][cH:22][cH:23][c:24]13>>[CH3:1]/[CH:2]=[C:3]1/[CH2:4][N:5]2[CH2:6][CH2:7][C@:8]34[C:9](=[C:10]([C:11](=[O:12])[O:13][CH3:14])[C@H:15]1[CH2:16][C@H:17]23)[NH:18][c:19]1[cH:20][cH:21][cH:22][cH:23][c:24]14
1047,I/[C:3](=[CH:2]\[CH3:1])[CH2:4][N:5]1[CH2:6][CH2:7][C@:8]23[C@H:9]([C:10]([C:11](=[O:12])[O:13][CH3:14])=[CH:15][CH2:16][C@H:17]12)[NH:18][c:19]1[cH:20][cH:21][cH:22][cH:23][c:24]13>>[CH3:1]/[CH:2]=[C:3]1/[CH2:4][N:5]2[CH2:6][CH2:7][C@:8]34[C:9](=[C:10]([C:11](=[O:12])[O:13][CH3:14])[C@H:15]1[CH2:16][C@H:17]23)[NH:18][c:19]1[cH:20][cH:21][cH:22][cH:23][c:24]14
1048,I/[C:3](=[CH:2]\[CH3:1])[CH2:4][N:5]1[CH2:6][CH2:7][C@:8]23[C@H:9]([C:10]([C:11](=[O:12])[O:13][CH3:14])=[CH:15][CH2:16][C@H:17]12)[NH:18][c:19]1[cH:20][cH:21][cH:22][cH:23][c:24]13>>[CH3:1]/[CH:2]=[C:3]1/[CH2:4][N:5]2[CH2:6][CH2:7][C@:8]34[C:9](=[C:10]([C:11](=[O:12])[O:13][CH3:14])[C@H:15]1[CH2:16][C@H:17]23)[NH:18][c:19]1[cH:20][cH:21][cH:22][cH:23][c:24]14
1049,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[CH:8]=[CH2:9].Br[c:10]1[cH:11][n:12][cH:13][cH:14][c:15]1[B:16]1[O:17][C:18]([CH3:19])([CH3:20])[C:21]([CH3:22])([CH3:23])[O:24]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])/[CH:8]=[CH:9]/[c:10]1[cH:11][n:12][cH:13][cH:14][c:15]1[B:16]1[O:17][C:18]([CH3:19])([CH3:20])[C:21]([CH3:22])([CH3:23])[O:24]1
1050,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[CH:8]=[CH2:9].Br[c:10]1[cH:11][n:12][cH:13][cH:14][c:15]1[B:16]1[O:17][C:18]([CH3:19])([CH3:20])[C:21]([CH3:22])([CH3:23])[O:24]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])/[CH:8]=[CH:9]/[c:10]1[cH:11][n:12][cH:13][cH:14][c:15]1[B:16]1[O:17][C:18]([CH3:19])([CH3:20])[C:21]([CH3:22])([CH3:23])[O:24]1
1051,[CH3:1][O:2][C:3](=[O:4])[CH:5]=[CH2:6].Br[c:7]1[cH:8][cH:9][c:10]([S:11](=[O:12])(=[O:13])[NH:14][CH2:15][CH2:16][c:17]2[cH:18][cH:19][cH:20][c:21]3[nH:22][cH:23][cH:24][c:25]23)[cH:26][cH:27]1>>[CH3:1][O:2][C:3](=[O:4])[CH:5]=[CH:6][c:7]1[cH:8][cH:9][c:10]([S:11](=[O:12])(=[O:13])[NH:14][CH2:15][CH2:16][c:17]2[cH:18][cH:19][cH:20][c:21]3[nH:22][cH:23][cH:24][c:25]23)[cH:26][cH:27]1
1052,[CH3:1][O:2][C:3](=[O:4])[CH:5]=[CH2:6].Br[c:7]1[cH:8][cH:9][cH:10][c:11]([S:12](=[O:13])(=[O:14])[NH:15][CH2:16][CH2:17][c:18]2[cH:19][cH:20][cH:21][c:22]3[nH:23][cH:24][cH:25][c:26]23)[cH:27]1>>[CH3:1][O:2][C:3](=[O:4])[CH:5]=[CH:6][c:7]1[cH:8][cH:9][cH:10][c:11]([S:12](=[O:13])(=[O:14])[NH:15][CH2:16][CH2:17][c:18]2[cH:19][cH:20][cH:21][c:22]3[nH:23][cH:24][cH:25][c:26]23)[cH:27]1
1053,[CH3:1][O:2][C:3](=[O:4])[CH:5]=[CH2:6].Br[c:7]1[cH:8][cH:9][c:10]([S:11](=[O:12])(=[O:13])[NH:14][CH2:15][CH2:16][c:17]2[cH:18][cH:19][c:20]3[nH:21][cH:22][cH:23][c:24]3[cH:25]2)[cH:26][cH:27]1>>[CH3:1][O:2][C:3](=[O:4])[CH:5]=[CH:6][c:7]1[cH:8][cH:9][c:10]([S:11](=[O:12])(=[O:13])[NH:14][CH2:15][CH2:16][c:17]2[cH:18][cH:19][c:20]3[nH:21][cH:22][cH:23][c:24]3[cH:25]2)[cH:26][cH:27]1
1054,[CH3:1][O:2][C:3](=[O:4])[CH:5]=[CH2:6].Br[c:7]1[cH:8][cH:9][c:10]([S:11](=[O:12])(=[O:13])[NH:14][c:15]2[cH:16][cH:17][cH:18][c:19]3[nH:20][cH:21][cH:22][c:23]23)[cH:24][cH:25]1>>[CH3:1][O:2][C:3](=[O:4])[CH:5]=[CH:6][c:7]1[cH:8][cH:9][c:10]([S:11](=[O:12])(=[O:13])[NH:14][c:15]2[cH:16][cH:17][cH:18][c:19]3[nH:20][cH:21][cH:22][c:23]23)[cH:24][cH:25]1
1055,CCO[C:25](=[O:26])[NH:27][N:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])[C@@H:7]1/[C:8](=[C:20](/[CH3:21])[CH2:22][CH2:23][OH:24])[CH:9]=[CH:10][C@H:19]1[NH:18][c:17]1[c:11](I)[cH:12][c:13]([F:14])[cH:15][cH:16]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[N:6]1[C@H:7]2[C:8](=[CH:9][C@@H:10]3[c:11]4[cH:12][c:13]([F:14])[cH:15][cH:16][c:17]4[NH:18][C@H:19]23)[C@@:20]2([CH3:21])[CH2:22][CH2:23][O:24][C:25](=[O:26])[N:27]12
1056,I[c:11]1[cH:12][c:13]([N+:14](=[O:15])[O-:16])[cH:17][cH:18][c:19]1[NH:20][C@H:21]1[C@H:7]([N:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])[NH:27][C:28](=[O:29])[O:30][CH2:31][CH3:32])/[C:8](=[C:22](\[CH3:23])[CH2:24][CH2:25][OH:26])[CH:9]=[CH:10]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[N:6]1[C@@H:7]2[C:8](=[CH:9][C@H:10]3[c:11]4[cH:12][c:13]([N+:14](=[O:15])[O-:16])[cH:17][cH:18][c:19]4[NH:20][C@@H:21]23)[C@@:22]([CH3:23])([CH2:24][CH2:25][OH:26])[N:27]1[C:28](=[O:29])[O:30][CH2:31][CH3:32]
1057,I[c:12]1[cH:13][c:14]([N+:15](=[O:16])[O-:17])[cH:18][cH:19][c:20]1[NH:21][C@H:22]1[C@H:8]([N:7]([C:5]([O:4][CH:2]([CH3:1])[CH3:3])=[O:6])[NH:28][C:29](=[O:30])[O:31][CH:32]([CH3:33])[CH3:34])/[C:9](=[C:23](\[CH3:24])[CH2:25][CH2:26][OH:27])[CH:10]=[CH:11]1>>[CH3:1][CH:2]([CH3:3])[O:4][C:5](=[O:6])[N:7]1[C@@H:8]2[C:9](=[CH:10][C@H:11]3[c:12]4[cH:13][c:14]([N+:15](=[O:16])[O-:17])[cH:18][cH:19][c:20]4[NH:21][C@@H:22]23)[C@@:23]([CH3:24])([CH2:25][CH2:26][OH:27])[N:28]1[C:29](=[O:30])[O:31][CH:32]([CH3:33])[CH3:34]
1058,[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH2:9].[CH2:14]=[CH:15][C:16](=[O:17])[O:18][CH2:19][CH2:20][CH2:21][CH3:22].I[c:10]1[cH:11][cH:12][c:13](I)[s:23]1>>[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH:9][c:10]1[cH:11][cH:12][c:13]([CH:14]=[CH:15][C:16](=[O:17])[O:18][CH2:19][CH2:20][CH2:21][CH3:22])[s:23]1
1059,[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH2:9].I[c:10]1[cH:11][cH:12][c:13]([CH2:14][OH:15])[cH:16][cH:17]1>>[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH:9][c:10]1[cH:11][cH:12][c:13]([CH2:14][OH:15])[cH:16][cH:17]1
1060,[CH3:1][O:2][C:3](=[O:4])[CH:5]=[CH2:6].[CH2:11]=[CH:12][C:13](=[O:14])[O:15][CH3:16].I[c:7]1[cH:8][cH:9][c:10](I)[s:17]1>>[CH3:1][O:2][C:3](=[O:4])[CH:5]=[CH:6][c:7]1[cH:8][cH:9][c:10]([CH:11]=[CH:12][C:13](=[O:14])[O:15][CH3:16])[s:17]1
1061,Br[c:7]1[cH:8][cH:9][c:10](Br)[s:17]1.[CH3:1][O:2][C:3](=[O:4])[CH:5]=[CH2:6].[CH2:11]=[CH:12][C:13](=[O:14])[O:15][CH3:16]>>[CH3:1][O:2][C:3](=[O:4])[CH:5]=[CH:6][c:7]1[cH:8][cH:9][c:10]([CH:11]=[CH:12][C:13](=[O:14])[O:15][CH3:16])[s:17]1
1062,[CH3:1][CH:2]([CH3:3])[NH:4][C:5](=[O:6])[CH:7]=[CH2:8].[CH2:13]=[CH:14][C:15](=[O:16])[NH:17][CH:18]([CH3:19])[CH3:20].I[c:9]1[cH:10][cH:11][c:12](I)[s:21]1>>[CH3:1][CH:2]([CH3:3])[NH:4][C:5](=[O:6])[CH:7]=[CH:8][c:9]1[cH:10][cH:11][c:12]([CH:13]=[CH:14][C:15](=[O:16])[NH:17][CH:18]([CH3:19])[CH3:20])[s:21]1
1063,[CH3:1][CH:2]([CH3:3])[NH:4][C:5](=[O:6])[CH:7]=[CH2:8].I[c:9]1[cH:10][n:11][cH:12][n:13][cH:14]1>>[CH3:1][CH:2]([CH3:3])[NH:4][C:5](=[O:6])[CH:7]=[CH:8][c:9]1[cH:10][n:11][cH:12][n:13][cH:14]1
1064,[CH3:1][CH:2]([CH3:3])[NH:4][C:5](=[O:6])[CH:7]=[CH2:8].I[c:9]1[cH:10][cH:11][cH:12][cH:13][n:14]1>>[CH3:1][CH:2]([CH3:3])[NH:4][C:5](=[O:6])[CH:7]=[CH:8][c:9]1[cH:10][cH:11][cH:12][cH:13][n:14]1
1065,[CH3:1][CH:2]([CH3:3])[NH:4][C:5](=[O:6])[CH:7]=[CH2:8].I[c:9]1[cH:10][cH:11][c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]2[n:18]1>>[CH3:1][CH:2]([CH3:3])[NH:4][C:5](=[O:6])[CH:7]=[CH:8][c:9]1[cH:10][cH:11][c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]2[n:18]1
1067,[CH2:12]=[CH:13][c:14]1[cH:15][cH:16][c:17]([Cl:18])[cH:19][cH:20]1.Br[c:11]1[cH:10][cH:9][c:8]([S:5]([NH:4][C:2]([CH3:1])=[O:3])(=[O:6])=[O:7])[cH:22][cH:21]1>>[CH3:1][C:2](=[O:3])[NH:4][S:5](=[O:6])(=[O:7])[c:8]1[cH:9][cH:10][c:11](/[CH:12]=[CH:13]/[c:14]2[cH:15][cH:16][c:17]([Cl:18])[cH:19][cH:20]2)[cH:21][cH:22]1
1068,[CH2:12]=[CH:13][c:14]1[cH:15][cH:16][c:17]([Cl:18])[cH:19][cH:20]1.Br[c:11]1[cH:10][cH:9][c:8]([S:5]([NH:4][C:2]([CH3:1])=[S:3])(=[O:6])=[O:7])[cH:22][cH:21]1>>[CH3:1][C:2](=[S:3])[NH:4][S:5](=[O:6])(=[O:7])[c:8]1[cH:9][cH:10][c:11](/[CH:12]=[CH:13]/[c:14]2[cH:15][cH:16][c:17]([Cl:18])[cH:19][cH:20]2)[cH:21][cH:22]1
1069,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH:7]=[CH2:8])[cH:22][cH:23]1.Br[c:9]1[cH:10][cH:11][c:12]([S:13](=[O:14])(=[O:15])[NH:16][C:17]([CH3:18])=[O:19])[cH:20][cH:21]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](/[CH:7]=[CH:8]/[c:9]2[cH:10][cH:11][c:12]([S:13](=[O:14])(=[O:15])[NH:16][C:17]([CH3:18])=[O:19])[cH:20][cH:21]2)[cH:22][cH:23]1
1070,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH:7]=[CH2:8])[cH:22][cH:23]1.Br[c:9]1[cH:10][cH:11][c:12]([S:13](=[O:14])(=[O:15])[NH:16][C:17]([CH3:18])=[S:19])[cH:20][cH:21]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](/[CH:7]=[CH:8]/[c:9]2[cH:10][cH:11][c:12]([S:13](=[O:14])(=[O:15])[NH:16][C:17]([CH3:18])=[S:19])[cH:20][cH:21]2)[cH:22][cH:23]1
1071,[CH3:1][CH2:2][CH2:3][CH2:4][O:5][CH:6]=[CH2:7].Br[c:8]1[cH:9][c:10](=[O:11])[o:12][c:13]2[cH:14][cH:15][c:16]([Cl:17])[cH:18][c:19]12>>[CH3:1][CH2:2][CH2:3][CH2:4][O:5]/[CH:6]=[CH:7]/[c:8]1[cH:9][c:10](=[O:11])[o:12][c:13]2[cH:14][cH:15][c:16]([Cl:17])[cH:18][c:19]12
1072,[CH3:1][CH2:2][CH2:3][CH2:4][O:5][CH:6]=[CH2:7].Br[c:8]1[cH:9][c:10](=[O:11])[o:12][c:13]2[cH:14][c:15]([CH3:16])[cH:17][cH:18][c:19]12>>[CH3:1][CH2:2][CH2:3][CH2:4][O:5]/[CH:6]=[CH:7]/[c:8]1[cH:9][c:10](=[O:11])[o:12][c:13]2[cH:14][c:15]([CH3:16])[cH:17][cH:18][c:19]12
1073,[CH2:7]=[CH:8][c:9]1[cH:10][cH:11][c:12]([Cl:13])[cH:14][cH:15]1.I[c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[c:17]([O:18][CH3:19])[cH:16]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](/[CH:7]=[CH:8]/[c:9]2[cH:10][cH:11][c:12]([Cl:13])[cH:14][cH:15]2)[cH:16][c:17]1[O:18][CH3:19]
1074,[CH2:1]=[C:2]1[CH2:3][CH2:4][CH2:5][C@:6]2([CH3:7])[CH2:8][C@H:9]3[O:10][C:11](=[O:12])[C:13](=[CH2:14])[C@H:29]3[CH2:30][C@@H:31]12.Br[c:15]1[n:16][c:17]2[c:18]([c:19](=[O:20])[n:21]([CH3:22])[c:23](=[O:24])[n:25]2[CH3:26])[n:27]1[CH3:28]>>[CH2:1]=[C:2]1[CH2:3][CH2:4][CH2:5][C@:6]2([CH3:7])[CH2:8][C@@H:9]3[O:10][C:11](=[O:12])[C:13]([CH2:14][c:15]4[n:16][c:17]5[c:18]([c:19](=[O:20])[n:21]([CH3:22])[c:23](=[O:24])[n:25]5[CH3:26])[n:27]4[CH3:28])=[C:29]3[CH2:30][C@@H:31]12
1075,[CH3:1][O:2][CH2:3][O:4][C@:5]1([CH3:6])[CH2:7][CH2:8][CH2:9][C@:10]2([CH3:11])[CH2:12][CH2:13][C@@H:14]([C:15](=[CH2:16])[C:23](=[O:24])[O:25][CH3:26])[CH2:27][C@@H:28]12.I[c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1>>[CH3:1][O:2][CH2:3][O:4][C@:5]1([CH3:6])[CH2:7][CH2:8][CH2:9][C@:10]2([CH3:11])[CH2:12][CH2:13][C@@H:14](/[C:15](=[CH:16]\[c:17]3[cH:18][cH:19][cH:20][cH:21][cH:22]3)[C:23](=[O:24])[O:25][CH3:26])[CH2:27][C@@H:28]12
1076,[CH3:1][O:2][CH2:3][O:4][C@:5]1([CH3:6])[CH2:7][CH2:8][CH2:9][C@:10]2([CH3:11])[CH2:12][CH2:13][C@@H:14]([C:15](=[CH2:16])[C:25](=[O:26])[O:27][CH3:28])[CH2:29][C@@H:30]12.I[c:17]1[cH:18][cH:19][c:20]([O:21][CH3:22])[cH:23][cH:24]1>>[CH3:1][O:2][CH2:3][O:4][C@:5]1([CH3:6])[CH2:7][CH2:8][CH2:9][C@:10]2([CH3:11])[CH2:12][CH2:13][C@@H:14](/[C:15](=[CH:16]\[c:17]3[cH:18][cH:19][c:20]([O:21][CH3:22])[cH:23][cH:24]3)[C:25](=[O:26])[O:27][CH3:28])[CH2:29][C@@H:30]12
1077,[CH3:1][O:2][CH2:3][O:4][C@:5]1([CH3:6])[CH2:7][CH2:8][CH2:9][C@:10]2([CH3:11])[CH2:12][CH2:13][C@@H:14]([C:15](=[CH2:16])[C:25](=[O:26])[O:27][CH3:28])[CH2:29][C@@H:30]12.Br[c:17]1[cH:18][cH:19][c:20]([CH:21]=[O:22])[cH:23][cH:24]1>>[CH3:1][O:2][CH2:3][O:4][C@:5]1([CH3:6])[CH2:7][CH2:8][CH2:9][C@:10]2([CH3:11])[CH2:12][CH2:13][C@@H:14](/[C:15](=[CH:16]\[c:17]3[cH:18][cH:19][c:20]([CH:21]=[O:22])[cH:23][cH:24]3)[C:25](=[O:26])[O:27][CH3:28])[CH2:29][C@@H:30]12
1078,[CH3:1][O:2][CH2:3][O:4][C@:5]1([CH3:6])[CH2:7][CH2:8][CH2:9][C@:10]2([CH3:11])[CH2:12][CH2:13][C@@H:14]([C:15](=[CH2:16])[C:24](=[O:25])[O:26][CH3:27])[CH2:28][C@@H:29]12.Br[c:17]1[cH:18][cH:19][c:20]([F:21])[cH:22][cH:23]1>>[CH3:1][O:2][CH2:3][O:4][C@:5]1([CH3:6])[CH2:7][CH2:8][CH2:9][C@:10]2([CH3:11])[CH2:12][CH2:13][C@@H:14](/[C:15](=[CH:16]\[c:17]3[cH:18][cH:19][c:20]([F:21])[cH:22][cH:23]3)[C:24](=[O:25])[O:26][CH3:27])[CH2:28][C@@H:29]12
1079,[CH3:1][O:2][CH2:3][O:4][C@:5]1([CH3:6])[CH2:7][CH2:8][CH2:9][C@:10]2([CH3:11])[CH2:12][CH2:13][C@@H:14]([C:15](=[CH2:16])[C:25](=[O:26])[O:27][CH3:28])[CH2:29][C@@H:30]12.I[c:17]1[cH:18][cH:19][cH:20][c:21]([O:22][CH3:23])[cH:24]1>>[CH3:1][O:2][CH2:3][O:4][C@:5]1([CH3:6])[CH2:7][CH2:8][CH2:9][C@:10]2([CH3:11])[CH2:12][CH2:13][C@@H:14](/[C:15](=[CH:16]\[c:17]3[cH:18][cH:19][cH:20][c:21]([O:22][CH3:23])[cH:24]3)[C:25](=[O:26])[O:27][CH3:28])[CH2:29][C@@H:30]12
1080,[CH3:1][O:2][CH2:3][O:4][C@:5]1([CH3:6])[CH2:7][CH2:8][CH2:9][C@:10]2([CH3:11])[CH2:12][CH2:13][C@@H:14]([C:15](=[CH2:16])[C:27](=[O:28])[O:29][CH3:30])[CH2:31][C@@H:32]12.Br[c:17]1[cH:18][cH:19][cH:20][cH:21][c:22]1[C:23](=[O:24])[O:25][CH3:26]>>[CH3:1][O:2][CH2:3][O:4][C@:5]1([CH3:6])[CH2:7][CH2:8][CH2:9][C@:10]2([CH3:11])[CH2:12][CH2:13][C@@H:14](/[C:15](=[CH:16]\[c:17]3[cH:18][cH:19][cH:20][cH:21][c:22]3[C:23](=[O:24])[O:25][CH3:26])[C:27](=[O:28])[O:29][CH3:30])[CH2:31][C@@H:32]12
